Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=400 | loss=4.6300 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=13727 | 4774ms/step | elapsed 33.3m | time left 166.7m
step=410 | loss=4.5564 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=13005 | 5039ms/step | elapsed 34.2m | time left 165.8m
step=420 | loss=4.5594 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=13085 | 5009ms/step | elapsed 35.0m | time left 165.0m
step=430 | loss=4.5566 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=13826 | 4740ms/step | elapsed 35.8m | time left 164.2m
step=440 | loss=4.5195 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=11844 | 5533ms/step | elapsed 36.7m | time left 163.3m
step=450 | loss=4.4747 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=14016 | 4676ms/step | elapsed 37.5m | time left 162.5m
step=460 | loss=4.4513 | lr(muon)=1.98e-02 lr(adam)=2.96e-04 | tok/s=12187 | 5378ms/step | elapsed 38.4m | time left 161.6m
step=470 | loss=4.4885 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=13292 | 4930ms/step | elapsed 39.2m | time left 160.8m
step=480 | loss=4.4983 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=12035 | 5446ms/step | elapsed 40.0m | time left 160.0m
step=490 | loss=4.3930 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=13227 | 4955ms/step | elapsed 40.9m | time left 159.1m
step=500 | loss=4.3631 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=12834 | 5106ms/step | elapsed 41.7m | time left 158.3m
step=510 | loss=4.3158 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=13432 | 4879ms/step | elapsed 42.6m | time left 157.4m
step=520 | loss=4.3814 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=13734 | 4772ms/step | elapsed 43.4m | time left 156.6m
step=530 | loss=4.2931 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=13054 | 5020ms/step | elapsed 44.2m | time left 155.8m
step=540 | loss=4.2919 | lr(muon)=1.96e-02 lr(adam)=2.95e-04 | tok/s=13208 | 4962ms/step | elapsed 45.1m | time left 154.9m
step=550 | loss=4.3373 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13714 | 4779ms/step | elapsed 45.9m | time left 154.1m
step=560 | loss=4.3266 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13670 | 4794ms/step | elapsed 46.8m | time left 153.2m
step=570 | loss=4.3036 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=14039 | 4668ms/step | elapsed 47.6m | time left 152.4m
step=580 | loss=4.2662 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13557 | 4834ms/step | elapsed 48.4m | time left 151.6m
step=590 | loss=4.1561 | lr(muon)=1.96e-02 lr(adam)=2.93e-04 | tok/s=13272 | 4938ms/step | elapsed 49.3m | time left 150.7m
step=600 | loss=4.3024 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=13124 | 4994ms/step | elapsed 50.1m | time left 149.9m
step=610 | loss=4.2001 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=12810 | 5116ms/step | elapsed 50.9m | time left 149.1m
step=620 | loss=4.2152 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=12897 | 5081ms/step | elapsed 51.8m | time left 148.2m
step=630 | loss=4.1441 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=11279 | 5811ms/step | elapsed 52.6m | time left 147.4m
step=640 | loss=4.2131 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=13468 | 4866ms/step | elapsed 53.5m | time left 146.5m
step=650 | loss=4.1583 | lr(muon)=1.94e-02 lr(adam)=2.92e-04 | tok/s=11651 | 5625ms/step | elapsed 54.3m | time left 145.7m
step=660 | loss=4.1385 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=12981 | 5049ms/step | elapsed 55.1m | time left 144.9m
step=670 | loss=4.1647 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=12040 | 5443ms/step | elapsed 56.0m | time left 144.0m
step=680 | loss=4.0896 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=12994 | 5043ms/step | elapsed 56.8m | time left 143.2m
step=690 | loss=4.1766 | lr(muon)=1.94e-02 lr(adam)=2.90e-04 | tok/s=13329 | 4917ms/step | elapsed 57.7m | time left 142.3m
step=700 | loss=4.1078 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=14053 | 4664ms/step | elapsed 58.5m | time left 141.5m
step=710 | loss=4.0881 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=13655 | 4799ms/step | elapsed 59.3m | time left 140.7m
step=720 | loss=4.1254 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=12946 | 5062ms/step | elapsed 60.2m | time left 139.8m
step=730 | loss=4.1369 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=13112 | 4998ms/step | elapsed 61.0m | time left 139.0m
step=740 | loss=4.1139 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=13692 | 4786ms/step | elapsed 61.9m | time left 138.1m
step=750 | loss=4.0080 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=14082 | 4654ms/step | elapsed 62.7m | time left 137.3m
step=760 | loss=4.1086 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=13292 | 4931ms/step | elapsed 63.5m | time left 136.5m
step=770 | loss=4.0356 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=14303 | 4582ms/step | elapsed 64.4m | time left 135.6m
step=780 | loss=4.0237 | lr(muon)=1.92e-02 lr(adam)=2.87e-04 | tok/s=13893 | 4717ms/step | elapsed 65.2m | time left 134.8m
step=790 | loss=4.0461 | lr(muon)=1.91e-02 lr(adam)=2.87e-04 | tok/s=14281 | 4589ms/step | elapsed 66.0m | time left 134.0m
step=800 | loss=4.0584 | lr(muon)=1.91e-02 lr(adam)=2.87e-04 | tok/s=13428 | 4881ms/step | elapsed 66.9m | time left 133.1m
step=810 | loss=4.0313 | lr(muon)=1.91e-02 lr(adam)=2.86e-04 | tok/s=14071 | 4657ms/step | elapsed 67.7m | time left 132.3m
step=820 | loss=3.9604 | lr(muon)=1.91e-02 lr(adam)=2.86e-04 | tok/s=13485 | 4860ms/step | elapsed 68.5m | time left 131.5m
step=830 | loss=4.0219 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=13489 | 4859ms/step | elapsed 69.4m | time left 130.6m
step=840 | loss=3.9709 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=13431 | 4879ms/step | elapsed 70.2m | time left 129.8m
step=850 | loss=3.8658 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=13574 | 4828ms/step | elapsed 71.1m | time left 128.9m
step=860 | loss=3.9998 | lr(muon)=1.90e-02 lr(adam)=2.84e-04 | tok/s=11742 | 5581ms/step | elapsed 71.9m | time left 128.1m
step=870 | loss=3.9653 | lr(muon)=1.89e-02 lr(adam)=2.84e-04 | tok/s=13031 | 5029ms/step | elapsed 72.7m | time left 127.3m
step=880 | loss=3.9990 | lr(muon)=1.89e-02 lr(adam)=2.83e-04 | tok/s=11349 | 5774ms/step | elapsed 73.6m | time left 126.4m
step=890 | loss=3.9386 | lr(muon)=1.89e-02 lr(adam)=2.83e-04 | tok/s=14140 | 4635ms/step | elapsed 74.4m | time left 125.6m
step=900 | loss=4.0140 | lr(muon)=1.88e-02 lr(adam)=2.83e-04 | tok/s=11596 | 5652ms/step | elapsed 75.2m | time left 124.8m
step=910 | loss=3.9378 | lr(muon)=1.88e-02 lr(adam)=2.82e-04 | tok/s=12865 | 5094ms/step | elapsed 76.1m | time left 123.9m
step=920 | loss=3.9678 | lr(muon)=1.88e-02 lr(adam)=2.82e-04 | tok/s=11873 | 5520ms/step | elapsed 76.9m | time left 123.1m
step=930 | loss=3.9520 | lr(muon)=1.88e-02 lr(adam)=2.81e-04 | tok/s=12807 | 5117ms/step | elapsed 77.8m | time left 122.2m
step=940 | loss=3.9882 | lr(muon)=1.87e-02 lr(adam)=2.81e-04 | tok/s=13593 | 4821ms/step | elapsed 78.6m | time left 121.4m
step=950 | loss=3.9012 | lr(muon)=1.87e-02 lr(adam)=2.80e-04 | tok/s=13389 | 4895ms/step | elapsed 79.4m | time left 120.6m
step=960 | loss=3.9163 | lr(muon)=1.87e-02 lr(adam)=2.80e-04 | tok/s=13063 | 5017ms/step | elapsed 80.3m | time left 119.7m
step=970 | loss=3.9297 | lr(muon)=1.86e-02 lr(adam)=2.80e-04 | tok/s=14095 | 4650ms/step | elapsed 81.1m | time left 118.9m
step=980 | loss=3.9044 | lr(muon)=1.86e-02 lr(adam)=2.79e-04 | tok/s=14079 | 4655ms/step | elapsed 82.0m | time left 118.0m
step=990 | loss=3.9302 | lr(muon)=1.86e-02 lr(adam)=2.79e-04 | tok/s=13170 | 4976ms/step | elapsed 82.8m | time left 117.2m
step=1000 | loss=3.8752 | lr(muon)=1.85e-02 lr(adam)=2.78e-04 | tok/s=12954 | 5059ms/step | elapsed 83.7m | time left 116.3m
step=1010 | loss=3.8139 | lr(muon)=1.85e-02 lr(adam)=2.78e-04 | tok/s=14199 | 4615ms/step | elapsed 84.5m | time left 115.5m
