Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
/home/rawline/forge-pretrain/train.py:162: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if "cuda" in device else None
[mem] rank=0 after model load: 444 MB  (≈ M_params)
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
[rank0]:W0428 22:08:29.664000 24912 site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
step=250 | loss=5.2342 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=18312 (rank tok/s=18312) | 3579ms/step [fwd=64 bwd=151 opt=146 ms] | elapsed 14.0m | time left 186.0m
step=260 | loss=5.1879 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=18256 (rank tok/s=18256) | 3590ms/step [fwd=63 bwd=151 opt=146 ms] | elapsed 14.6m | time left 185.4m
step=270 | loss=5.0883 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18304 (rank tok/s=18304) | 3580ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 15.2m | time left 184.8m
step=280 | loss=5.1250 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18640 (rank tok/s=18640) | 3516ms/step [fwd=62 bwd=147 opt=145 ms] | elapsed 15.8m | time left 184.2m
step=290 | loss=5.0191 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18601 (rank tok/s=18601) | 3523ms/step [fwd=62 bwd=148 opt=145 ms] | elapsed 16.4m | time left 183.6m
step=300 | loss=4.9465 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18087 (rank tok/s=18087) | 3623ms/step [fwd=64 bwd=152 opt=148 ms] | elapsed 17.0m | time left 183.0m
step=310 | loss=4.9529 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18534 (rank tok/s=18534) | 3536ms/step [fwd=62 bwd=149 opt=144 ms] | elapsed 17.5m | time left 182.5m
step=320 | loss=4.9425 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18570 (rank tok/s=18570) | 3529ms/step [fwd=63 bwd=148 opt=144 ms] | elapsed 18.1m | time left 181.9m
step=330 | loss=4.8089 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18567 (rank tok/s=18567) | 3530ms/step [fwd=62 bwd=149 opt=145 ms] | elapsed 18.7m | time left 181.3m
step=340 | loss=4.8651 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=18588 (rank tok/s=18588) | 3526ms/step [fwd=63 bwd=148 opt=146 ms] | elapsed 19.3m | time left 180.7m
step=350 | loss=4.8092 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=18466 (rank tok/s=18466) | 3549ms/step [fwd=64 bwd=149 opt=144 ms] | elapsed 19.9m | time left 180.1m
step=360 | loss=4.8381 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=18459 (rank tok/s=18459) | 3550ms/step [fwd=62 bwd=149 opt=145 ms] | elapsed 20.5m | time left 179.5m
step=370 | loss=4.7568 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=18296 (rank tok/s=18296) | 3582ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 21.1m | time left 178.9m
step=380 | loss=4.7078 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=18166 (rank tok/s=18166) | 3608ms/step [fwd=64 bwd=152 opt=147 ms] | elapsed 21.7m | time left 178.3m
step=390 | loss=4.5975 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=18222 (rank tok/s=18222) | 3597ms/step [fwd=64 bwd=151 opt=147 ms] | elapsed 22.3m | time left 177.7m
step=400 | loss=4.6614 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=18196 (rank tok/s=18196) | 3602ms/step [fwd=64 bwd=151 opt=148 ms] | elapsed 22.9m | time left 177.1m
