Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=400 | loss=4.5776 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=7046 | 9301ms/step | elapsed 57.3m | time left 142.7m
step=410 | loss=4.6277 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=7710 | 8501ms/step | elapsed 59.5m | time left 140.5m
step=420 | loss=4.5340 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=8291 | 7905ms/step | elapsed 60.9m | time left 139.1m
step=430 | loss=4.5251 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=8292 | 7903ms/step | elapsed 62.4m | time left 137.6m
step=440 | loss=4.4511 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=8132 | 8059ms/step | elapsed 63.7m | time left 136.3m
step=450 | loss=4.4978 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=8261 | 7933ms/step | elapsed 65.1m | time left 134.9m
step=460 | loss=4.3950 | lr(muon)=1.98e-02 lr(adam)=2.96e-04 | tok/s=8130 | 8061ms/step | elapsed 66.5m | time left 133.5m
step=470 | loss=4.3648 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=8398 | 7804ms/step | elapsed 67.9m | time left 132.1m
step=480 | loss=4.4345 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=9662 | 6783ms/step | elapsed 70.0m | time left 130.0m
step=490 | loss=4.4067 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=8139 | 8052ms/step | elapsed 71.3m | time left 128.7m
step=500 | loss=4.4106 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=8405 | 7797ms/step | elapsed 72.7m | time left 127.3m
step=510 | loss=4.3332 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=8094 | 8097ms/step | elapsed 74.1m | time left 125.9m
step=520 | loss=4.3285 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=8268 | 7927ms/step | elapsed 75.5m | time left 124.5m
step=530 | loss=4.2730 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=8271 | 7924ms/step | elapsed 76.9m | time left 123.1m
step=540 | loss=4.2142 | lr(muon)=1.96e-02 lr(adam)=2.95e-04 | tok/s=8289 | 7907ms/step | elapsed 78.3m | time left 121.7m
step=550 | loss=4.3331 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=2604 | 25168ms/step | elapsed 81.4m | time left 118.6m
step=560 | loss=4.1982 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=7115 | 9212ms/step | elapsed 83.1m | time left 116.9m
step=570 | loss=4.3180 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=8253 | 7941ms/step | elapsed 84.5m | time left 115.5m
step=580 | loss=4.2109 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=7114 | 9212ms/step | elapsed 85.9m | time left 114.1m
step=590 | loss=4.2531 | lr(muon)=1.96e-02 lr(adam)=2.93e-04 | tok/s=8374 | 7826ms/step | elapsed 87.3m | time left 112.7m
step=600 | loss=4.2372 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=7109 | 9218ms/step | elapsed 88.7m | time left 111.3m
