Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=10 | loss=9.6947 | lr=6.00e-05 | tok/s=396463 | 165ms/step | elapsed 0.1m | time left 9.9m
step=20 | loss=9.2550 | lr=1.20e-04 | tok/s=470005 | 139ms/step | elapsed 0.1m | time left 9.9m
step=30 | loss=8.7244 | lr=1.80e-04 | tok/s=475979 | 138ms/step | elapsed 0.1m | time left 9.9m
step=40 | loss=8.5155 | lr=2.40e-04 | tok/s=385029 | 170ms/step | elapsed 0.1m | time left 9.9m
step=50 | loss=8.4797 | lr=3.00e-04 | tok/s=477844 | 137ms/step | elapsed 0.2m | time left 9.8m
step=60 | loss=8.3784 | lr=3.60e-04 | tok/s=472913 | 139ms/step | elapsed 0.2m | time left 9.8m
step=70 | loss=8.1041 | lr=4.20e-04 | tok/s=529543 | 124ms/step | elapsed 0.2m | time left 9.8m
step=80 | loss=8.0057 | lr=4.80e-04 | tok/s=424038 | 155ms/step | elapsed 0.2m | time left 9.8m
step=90 | loss=7.9748 | lr=5.40e-04 | tok/s=409693 | 160ms/step | elapsed 0.3m | time left 9.7m
step=100 | loss=7.9163 | lr=6.00e-04 | tok/s=402068 | 163ms/step | elapsed 0.3m | time left 9.7m
step=110 | loss=7.7746 | lr=6.00e-04 | tok/s=483891 | 135ms/step | elapsed 0.3m | time left 9.7m
step=120 | loss=7.8031 | lr=6.00e-04 | tok/s=454492 | 144ms/step | elapsed 0.3m | time left 9.7m
step=130 | loss=7.6071 | lr=6.00e-04 | tok/s=373404 | 176ms/step | elapsed 0.4m | time left 9.6m
step=140 | loss=7.5966 | lr=6.00e-04 | tok/s=420566 | 156ms/step | elapsed 0.4m | time left 9.6m
step=150 | loss=7.5363 | lr=6.00e-04 | tok/s=398197 | 165ms/step | elapsed 0.4m | time left 9.6m
step=160 | loss=7.4371 | lr=6.00e-04 | tok/s=444038 | 148ms/step | elapsed 0.4m | time left 9.6m
step=170 | loss=7.3728 | lr=6.00e-04 | tok/s=389108 | 168ms/step | elapsed 0.5m | time left 9.5m
step=180 | loss=7.2547 | lr=6.00e-04 | tok/s=509921 | 129ms/step | elapsed 0.5m | time left 9.5m
step=190 | loss=7.2848 | lr=6.00e-04 | tok/s=479070 | 137ms/step | elapsed 0.5m | time left 9.5m
step=200 | loss=7.1282 | lr=5.99e-04 | tok/s=443833 | 148ms/step | elapsed 0.5m | time left 9.5m
step=210 | loss=7.2080 | lr=5.99e-04 | tok/s=462532 | 142ms/step | elapsed 0.6m | time left 9.4m
step=220 | loss=7.1642 | lr=5.99e-04 | tok/s=448032 | 146ms/step | elapsed 0.6m | time left 9.4m
step=230 | loss=7.0899 | lr=5.99e-04 | tok/s=419110 | 156ms/step | elapsed 0.6m | time left 9.4m
step=240 | loss=7.1422 | lr=5.99e-04 | tok/s=496948 | 132ms/step | elapsed 0.7m | time left 9.3m
step=250 | loss=7.1223 | lr=5.99e-04 | tok/s=452858 | 145ms/step | elapsed 0.7m | time left 9.3m
step=260 | loss=6.8899 | lr=5.99e-04 | tok/s=433957 | 151ms/step | elapsed 0.7m | time left 9.3m
step=270 | loss=6.9390 | lr=5.98e-04 | tok/s=478620 | 137ms/step | elapsed 0.7m | time left 9.3m
step=280 | loss=6.7369 | lr=5.98e-04 | tok/s=444325 | 147ms/step | elapsed 0.8m | time left 9.2m
step=290 | loss=6.8556 | lr=5.98e-04 | tok/s=433809 | 151ms/step | elapsed 0.8m | time left 9.2m
step=300 | loss=6.7388 | lr=5.98e-04 | tok/s=392104 | 167ms/step | elapsed 0.8m | time left 9.2m
step=310 | loss=6.7291 | lr=5.98e-04 | tok/s=375135 | 175ms/step | elapsed 0.8m | time left 9.2m
step=320 | loss=6.8519 | lr=5.97e-04 | tok/s=365795 | 179ms/step | elapsed 0.9m | time left 9.1m
step=330 | loss=6.7280 | lr=5.97e-04 | tok/s=417784 | 157ms/step | elapsed 0.9m | time left 9.1m
step=340 | loss=6.6543 | lr=5.97e-04 | tok/s=411413 | 159ms/step | elapsed 0.9m | time left 9.1m
step=350 | loss=6.7383 | lr=5.97e-04 | tok/s=399429 | 164ms/step | elapsed 0.9m | time left 9.1m
step=360 | loss=6.6551 | lr=5.96e-04 | tok/s=459731 | 143ms/step | elapsed 1.0m | time left 9.0m
step=370 | loss=6.7077 | lr=5.96e-04 | tok/s=481383 | 136ms/step | elapsed 1.0m | time left 9.0m
step=380 | loss=6.5666 | lr=5.96e-04 | tok/s=436026 | 150ms/step | elapsed 1.0m | time left 9.0m
step=390 | loss=6.5960 | lr=5.95e-04 | tok/s=438365 | 150ms/step | elapsed 1.0m | time left 9.0m
