Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=400 | loss=4.7308 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=13486 | 4860ms/step | elapsed 34.4m | time left 565.6m
step=410 | loss=4.5968 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=12702 | 5159ms/step | elapsed 35.2m | time left 564.8m
step=420 | loss=4.5708 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=13781 | 4755ms/step | elapsed 36.1m | time left 563.9m
step=430 | loss=4.5360 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=13933 | 4704ms/step | elapsed 36.9m | time left 563.1m
step=440 | loss=4.5642 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=13692 | 4787ms/step | elapsed 37.8m | time left 562.2m
step=450 | loss=4.4859 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=12352 | 5306ms/step | elapsed 38.7m | time left 561.3m
step=460 | loss=4.4377 | lr(muon)=1.98e-02 lr(adam)=2.96e-04 | tok/s=13678 | 4791ms/step | elapsed 39.5m | time left 560.5m
step=470 | loss=4.4432 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=13405 | 4889ms/step | elapsed 40.4m | time left 559.6m
step=480 | loss=4.4044 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=10222 | 6411ms/step | elapsed 41.3m | time left 558.7m
step=490 | loss=4.3038 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=13669 | 4794ms/step | elapsed 42.1m | time left 557.9m
step=500 | loss=4.3275 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=10637 | 6161ms/step | elapsed 43.0m | time left 557.0m
step=510 | loss=4.3102 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=13756 | 4764ms/step | elapsed 43.8m | time left 556.2m
step=520 | loss=4.2258 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=10501 | 6241ms/step | elapsed 44.7m | time left 555.3m
step=530 | loss=4.3313 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=12862 | 5095ms/step | elapsed 45.5m | time left 554.5m
step=540 | loss=4.2204 | lr(muon)=1.96e-02 lr(adam)=2.95e-04 | tok/s=13719 | 4777ms/step | elapsed 46.4m | time left 553.6m
step=550 | loss=4.2537 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13417 | 4885ms/step | elapsed 47.3m | time left 552.7m
step=560 | loss=4.2205 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13205 | 4963ms/step | elapsed 48.1m | time left 551.9m
step=570 | loss=4.3052 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13211 | 4961ms/step | elapsed 49.0m | time left 551.0m
step=580 | loss=4.1373 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=13350 | 4909ms/step | elapsed 49.8m | time left 550.2m
step=590 | loss=4.2625 | lr(muon)=1.96e-02 lr(adam)=2.93e-04 | tok/s=12898 | 5081ms/step | elapsed 50.7m | time left 549.3m
step=600 | loss=4.2280 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=12742 | 5143ms/step | elapsed 51.6m | time left 548.4m
step=610 | loss=4.2317 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=13608 | 4816ms/step | elapsed 52.4m | time left 547.6m
step=620 | loss=4.2408 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=13709 | 4781ms/step | elapsed 53.3m | time left 546.7m
step=630 | loss=4.2529 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=13315 | 4922ms/step | elapsed 54.1m | time left 545.9m
step=640 | loss=4.2441 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=13856 | 4730ms/step | elapsed 55.0m | time left 545.0m
