Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=10 | loss=9.6895 | lr=6.00e-05 | tok/s=473644 | 138ms/step | elapsed 0.1m | time left 9.9m
step=20 | loss=9.2431 | lr=1.20e-04 | tok/s=434475 | 151ms/step | elapsed 0.1m | time left 9.9m
step=30 | loss=8.7496 | lr=1.80e-04 | tok/s=427021 | 153ms/step | elapsed 0.1m | time left 9.9m
step=40 | loss=8.5552 | lr=2.40e-04 | tok/s=347501 | 189ms/step | elapsed 0.2m | time left 9.8m
step=50 | loss=8.5003 | lr=3.00e-04 | tok/s=487928 | 134ms/step | elapsed 0.2m | time left 9.8m
step=60 | loss=8.2929 | lr=3.60e-04 | tok/s=453769 | 144ms/step | elapsed 0.2m | time left 9.8m
step=70 | loss=8.1528 | lr=4.20e-04 | tok/s=433002 | 151ms/step | elapsed 0.2m | time left 9.8m
step=80 | loss=8.1152 | lr=4.80e-04 | tok/s=481054 | 136ms/step | elapsed 0.3m | time left 9.7m
step=90 | loss=7.8343 | lr=5.40e-04 | tok/s=409933 | 160ms/step | elapsed 0.3m | time left 9.7m
step=100 | loss=7.8574 | lr=6.00e-04 | tok/s=387938 | 169ms/step | elapsed 0.3m | time left 9.7m
step=110 | loss=7.7857 | lr=6.00e-04 | tok/s=425505 | 154ms/step | elapsed 0.3m | time left 9.7m
step=120 | loss=7.6659 | lr=6.00e-04 | tok/s=564071 | 116ms/step | elapsed 0.4m | time left 9.6m
step=130 | loss=7.5551 | lr=6.00e-04 | tok/s=493886 | 133ms/step | elapsed 0.4m | time left 9.6m
step=140 | loss=7.5408 | lr=6.00e-04 | tok/s=397491 | 165ms/step | elapsed 0.4m | time left 9.6m
step=150 | loss=7.3859 | lr=6.00e-04 | tok/s=501521 | 131ms/step | elapsed 0.4m | time left 9.6m
step=160 | loss=7.4533 | lr=6.00e-04 | tok/s=431358 | 152ms/step | elapsed 0.5m | time left 9.5m
step=170 | loss=7.2964 | lr=6.00e-04 | tok/s=432476 | 152ms/step | elapsed 0.5m | time left 9.5m
step=180 | loss=7.3496 | lr=6.00e-04 | tok/s=419706 | 156ms/step | elapsed 0.5m | time left 9.5m
