Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=520 | loss=6.1727 | lr=5.90e-04 | tok/s=403790 | 162ms/step | elapsed 1.4m | time left 8.6m
step=530 | loss=6.1358 | lr=5.90e-04 | tok/s=491649 | 133ms/step | elapsed 1.5m | time left 8.5m
step=540 | loss=5.8727 | lr=5.89e-04 | tok/s=434957 | 151ms/step | elapsed 1.5m | time left 8.5m
step=550 | loss=6.0876 | lr=5.89e-04 | tok/s=424645 | 154ms/step | elapsed 1.5m | time left 8.5m
step=560 | loss=5.9313 | lr=5.88e-04 | tok/s=405167 | 162ms/step | elapsed 1.5m | time left 8.5m
step=570 | loss=6.0598 | lr=5.88e-04 | tok/s=478390 | 137ms/step | elapsed 1.6m | time left 8.4m
step=580 | loss=5.9101 | lr=5.87e-04 | tok/s=450127 | 146ms/step | elapsed 1.6m | time left 8.4m
step=590 | loss=5.9333 | lr=5.87e-04 | tok/s=467022 | 140ms/step | elapsed 1.6m | time left 8.4m
step=600 | loss=5.8636 | lr=5.86e-04 | tok/s=439226 | 149ms/step | elapsed 1.6m | time left 8.4m
step=610 | loss=5.8522 | lr=5.86e-04 | tok/s=486368 | 135ms/step | elapsed 1.7m | time left 8.3m
step=620 | loss=6.0673 | lr=5.85e-04 | tok/s=392150 | 167ms/step | elapsed 1.7m | time left 8.3m
step=630 | loss=5.8542 | lr=5.85e-04 | tok/s=494638 | 132ms/step | elapsed 1.7m | time left 8.3m
step=640 | loss=5.8193 | lr=5.84e-04 | tok/s=415703 | 158ms/step | elapsed 1.8m | time left 8.2m
step=650 | loss=5.7406 | lr=5.83e-04 | tok/s=422135 | 155ms/step | elapsed 1.8m | time left 8.2m
step=660 | loss=5.8059 | lr=5.83e-04 | tok/s=457292 | 143ms/step | elapsed 1.8m | time left 8.2m
step=670 | loss=5.6081 | lr=5.82e-04 | tok/s=430184 | 152ms/step | elapsed 1.8m | time left 8.2m
step=680 | loss=5.7438 | lr=5.82e-04 | tok/s=467923 | 140ms/step | elapsed 1.9m | time left 8.1m
step=690 | loss=5.8202 | lr=5.81e-04 | tok/s=409595 | 160ms/step | elapsed 1.9m | time left 8.1m
step=700 | loss=5.7228 | lr=5.80e-04 | tok/s=394953 | 166ms/step | elapsed 1.9m | time left 8.1m
step=710 | loss=5.6947 | lr=5.80e-04 | tok/s=427186 | 153ms/step | elapsed 1.9m | time left 8.1m
step=720 | loss=5.6042 | lr=5.79e-04 | tok/s=439205 | 149ms/step | elapsed 1.9m | time left 8.1m
step=730 | loss=5.6321 | lr=5.78e-04 | tok/s=471057 | 139ms/step | elapsed 2.0m | time left 8.0m
step=740 | loss=5.6108 | lr=5.78e-04 | tok/s=505483 | 130ms/step | elapsed 2.0m | time left 8.0m
step=750 | loss=5.4821 | lr=5.77e-04 | tok/s=474535 | 138ms/step | elapsed 2.0m | time left 8.0m
step=760 | loss=5.5310 | lr=5.76e-04 | tok/s=410957 | 159ms/step | elapsed 2.0m | time left 8.0m
step=770 | loss=5.5844 | lr=5.75e-04 | tok/s=482567 | 136ms/step | elapsed 2.1m | time left 7.9m
step=780 | loss=5.4555 | lr=5.75e-04 | tok/s=447583 | 146ms/step | elapsed 2.1m | time left 7.9m
step=790 | loss=5.3719 | lr=5.74e-04 | tok/s=441414 | 148ms/step | elapsed 2.1m | time left 7.9m
step=800 | loss=5.4850 | lr=5.73e-04 | tok/s=423232 | 155ms/step | elapsed 2.1m | time left 7.9m
