Master: verda-hackathon-1:29500  |  Nodes: 2  |  GPUs/node: 4
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total


[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step    600 | loss 5.1078 | lr 5.86e-04 | 157ms/step | elapsed 1.7m | time left 8.3m
step    610 | loss 5.0762 | lr 5.86e-04 | 159ms/step | elapsed 1.7m | time left 8.3m
step    620 | loss 5.0565 | lr 5.85e-04 | 150ms/step | elapsed 1.7m | time left 8.3m
step    630 | loss 5.2489 | lr 5.85e-04 | 164ms/step | elapsed 1.8m | time left 8.2m
step    640 | loss 5.1009 | lr 5.84e-04 | 157ms/step | elapsed 1.8m | time left 8.2m
step    650 | loss 5.0766 | lr 5.83e-04 | 161ms/step | elapsed 1.8m | time left 8.2m
step    660 | loss 5.1577 | lr 5.83e-04 | 155ms/step | elapsed 1.8m | time left 8.2m
step    670 | loss 5.0161 | lr 5.82e-04 | 156ms/step | elapsed 1.9m | time left 8.1m
step    680 | loss 4.8760 | lr 5.82e-04 | 159ms/step | elapsed 1.9m | time left 8.1m
step    690 | loss 5.0102 | lr 5.81e-04 | 159ms/step | elapsed 1.9m | time left 8.1m
step    700 | loss 4.9371 | lr 5.80e-04 | 163ms/step | elapsed 1.9m | time left 8.1m
step    710 | loss 4.9655 | lr 5.80e-04 | 163ms/step | elapsed 2.0m | time left 8.0m
step    720 | loss 4.9128 | lr 5.79e-04 | 165ms/step | elapsed 2.0m | time left 8.0m
step    730 | loss 4.8308 | lr 5.78e-04 | 163ms/step | elapsed 2.0m | time left 8.0m
step    740 | loss 4.8870 | lr 5.78e-04 | 161ms/step | elapsed 2.0m | time left 8.0m
step    750 | loss 4.9065 | lr 5.77e-04 | 162ms/step | elapsed 2.1m | time left 7.9m
step    760 | loss 4.8425 | lr 5.76e-04 | 160ms/step | elapsed 2.1m | time left 7.9m
step    770 | loss 4.6220 | lr 5.75e-04 | 178ms/step | elapsed 2.1m | time left 7.9m
step    780 | loss 4.7374 | lr 5.75e-04 | 163ms/step | elapsed 2.2m | time left 7.8m
step    790 | loss 4.8073 | lr 5.74e-04 | 135ms/step | elapsed 2.2m | time left 7.8m
step    800 | loss 4.7683 | lr 5.73e-04 | 170ms/step | elapsed 2.2m | time left 7.8m
step    810 | loss 4.8062 | lr 5.73e-04 | 154ms/step | elapsed 2.2m | time left 7.8m
step    820 | loss 4.7986 | lr 5.72e-04 | 170ms/step | elapsed 2.3m | time left 7.7m
step    830 | loss 4.8474 | lr 5.71e-04 | 176ms/step | elapsed 2.3m | time left 7.7m
step    840 | loss 4.5942 | lr 5.70e-04 | 159ms/step | elapsed 2.3m | time left 7.7m
step    850 | loss 4.7404 | lr 5.69e-04 | 148ms/step | elapsed 2.3m | time left 7.7m
step    860 | loss 4.7180 | lr 5.69e-04 | 154ms/step | elapsed 2.4m | time left 7.6m
step    870 | loss 4.7497 | lr 5.68e-04 | 140ms/step | elapsed 2.4m | time left 7.6m
