Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[data] 50 shard(s), 5,000,000,000 tokens total
step=530 | loss=4.8023 | lr=5.90e-04 | tok/s=11141 | 5882ms/step | elapsed 56.3m | time left 143.7m
step=540 | loss=4.7676 | lr=5.89e-04 | tok/s=11215 | 5844ms/step | elapsed 57.4m | time left 142.6m
step=550 | loss=4.7848 | lr=5.89e-04 | tok/s=10884 | 6022ms/step | elapsed 58.4m | time left 141.6m
step=560 | loss=4.7681 | lr=5.88e-04 | tok/s=10674 | 6140ms/step | elapsed 59.5m | time left 140.5m
step=570 | loss=4.7482 | lr=5.88e-04 | tok/s=8547 | 7667ms/step | elapsed 60.6m | time left 139.4m
step=580 | loss=4.7226 | lr=5.87e-04 | tok/s=8661 | 7567ms/step | elapsed 61.6m | time left 138.4m
step=590 | loss=4.7604 | lr=5.87e-04 | tok/s=10758 | 6092ms/step | elapsed 62.7m | time left 137.3m
step=600 | loss=4.6484 | lr=5.86e-04 | tok/s=10784 | 6077ms/step | elapsed 63.8m | time left 136.2m
step=610 | loss=4.6583 | lr=5.86e-04 | tok/s=10605 | 6180ms/step | elapsed 64.8m | time left 135.2m
step=620 | loss=4.6372 | lr=5.85e-04 | tok/s=10769 | 6086ms/step | elapsed 65.9m | time left 134.1m
step=630 | loss=4.5494 | lr=5.85e-04 | tok/s=11014 | 5950ms/step | elapsed 67.0m | time left 133.0m
step=640 | loss=4.6066 | lr=5.84e-04 | tok/s=10877 | 6025ms/step | elapsed 68.0m | time left 132.0m
step=650 | loss=4.5862 | lr=5.83e-04 | tok/s=10799 | 6069ms/step | elapsed 69.1m | time left 130.9m
step=660 | loss=4.5786 | lr=5.83e-04 | tok/s=8547 | 7668ms/step | elapsed 70.2m | time left 129.8m
step=670 | loss=4.5338 | lr=5.82e-04 | tok/s=10905 | 6010ms/step | elapsed 71.2m | time left 128.8m
step=680 | loss=4.4653 | lr=5.82e-04 | tok/s=10841 | 6045ms/step | elapsed 72.3m | time left 127.7m
step=690 | loss=4.4577 | lr=5.81e-04 | tok/s=10881 | 6023ms/step | elapsed 73.4m | time left 126.6m
step=700 | loss=4.5571 | lr=5.80e-04 | tok/s=10672 | 6141ms/step | elapsed 74.4m | time left 125.6m
step=710 | loss=4.4973 | lr=5.80e-04 | tok/s=8546 | 7669ms/step | elapsed 75.5m | time left 124.5m
step=720 | loss=4.4458 | lr=5.79e-04 | tok/s=8495 | 7715ms/step | elapsed 76.6m | time left 123.4m
step=730 | loss=4.4436 | lr=5.78e-04 | tok/s=10796 | 6071ms/step | elapsed 77.6m | time left 122.4m
step=740 | loss=4.4200 | lr=5.78e-04 | tok/s=10773 | 6084ms/step | elapsed 78.7m | time left 121.3m
step=750 | loss=4.4137 | lr=5.77e-04 | tok/s=10725 | 6111ms/step | elapsed 79.7m | time left 120.3m
