Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=390 | loss=5.8487 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=456127 | 144ms/step | elapsed 1.2m | time left 8.8m
step=400 | loss=5.8491 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=359423 | 182ms/step | elapsed 1.2m | time left 8.8m
step=410 | loss=5.6786 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=399989 | 164ms/step | elapsed 1.2m | time left 8.8m
step=420 | loss=5.8044 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=378680 | 173ms/step | elapsed 1.3m | time left 8.7m
step=430 | loss=5.8036 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=413695 | 158ms/step | elapsed 1.3m | time left 8.7m
step=440 | loss=5.8546 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=454515 | 144ms/step | elapsed 1.3m | time left 8.7m
step=450 | loss=5.6135 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=386159 | 170ms/step | elapsed 1.3m | time left 8.7m
step=460 | loss=5.6824 | lr(muon)=1.98e-02 lr(adam)=2.96e-04 | tok/s=366655 | 179ms/step | elapsed 1.4m | time left 8.6m
step=470 | loss=5.5785 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=507426 | 129ms/step | elapsed 1.4m | time left 8.6m
step=480 | loss=5.6424 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=478346 | 137ms/step | elapsed 1.4m | time left 8.6m
step=490 | loss=5.4234 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=378827 | 173ms/step | elapsed 1.5m | time left 8.5m
step=500 | loss=5.3979 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=418684 | 157ms/step | elapsed 1.5m | time left 8.5m
step=510 | loss=5.5106 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=470891 | 139ms/step | elapsed 1.5m | time left 8.5m
step=520 | loss=5.4620 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=409151 | 160ms/step | elapsed 1.5m | time left 8.5m
step=530 | loss=5.4304 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=454800 | 144ms/step | elapsed 1.6m | time left 8.4m
step=540 | loss=5.4224 | lr(muon)=1.96e-02 lr(adam)=2.95e-04 | tok/s=380519 | 172ms/step | elapsed 1.6m | time left 8.4m
step=550 | loss=5.4051 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=379474 | 173ms/step | elapsed 1.6m | time left 8.4m
step=560 | loss=5.3913 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=394337 | 166ms/step | elapsed 1.6m | time left 8.4m
step=570 | loss=5.3442 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=392454 | 167ms/step | elapsed 1.7m | time left 8.3m
step=580 | loss=5.4803 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=432228 | 152ms/step | elapsed 1.7m | time left 8.3m
step=590 | loss=5.2947 | lr(muon)=1.96e-02 lr(adam)=2.93e-04 | tok/s=419095 | 156ms/step | elapsed 1.7m | time left 8.3m
step=600 | loss=5.3885 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=421137 | 156ms/step | elapsed 1.7m | time left 8.3m
step=610 | loss=5.4103 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=414959 | 158ms/step | elapsed 1.8m | time left 8.2m
step=620 | loss=5.4466 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=398150 | 165ms/step | elapsed 1.8m | time left 8.2m
step=630 | loss=5.1992 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=448560 | 146ms/step | elapsed 1.8m | time left 8.2m
step=640 | loss=5.2196 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=451046 | 145ms/step | elapsed 1.9m | time left 8.1m
step=650 | loss=5.2927 | lr(muon)=1.94e-02 lr(adam)=2.92e-04 | tok/s=433007 | 151ms/step | elapsed 1.9m | time left 8.1m
step=660 | loss=5.2936 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=378131 | 173ms/step | elapsed 1.9m | time left 8.1m
step=670 | loss=5.1628 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=374665 | 175ms/step | elapsed 1.9m | time left 8.1m
step=680 | loss=5.1529 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=406080 | 161ms/step | elapsed 2.0m | time left 8.0m
step=690 | loss=5.3117 | lr(muon)=1.94e-02 lr(adam)=2.90e-04 | tok/s=423859 | 155ms/step | elapsed 2.0m | time left 8.0m
step=700 | loss=5.2070 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=391787 | 167ms/step | elapsed 2.0m | time left 8.0m
step=710 | loss=5.1685 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=439419 | 149ms/step | elapsed 2.0m | time left 8.0m
step=720 | loss=5.1422 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=408947 | 160ms/step | elapsed 2.1m | time left 7.9m
step=730 | loss=5.0614 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=442173 | 148ms/step | elapsed 2.1m | time left 7.9m
step=740 | loss=5.1295 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=487415 | 134ms/step | elapsed 2.1m | time left 7.9m
step=750 | loss=5.2656 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=402843 | 163ms/step | elapsed 2.1m | time left 7.9m
