Master: verda-hackathon-1:29500  |  Nodes: 4  |  GPUs/node: 8
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total



[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total


[data] 49 shard(s), 49,000,000,000 tokens total
step=300 | loss=4.8021 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=5478978 | 191ms/step | elapsed 1.1m | time left 8.9m
step=310 | loss=5.0048 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=5333131 | 197ms/step | elapsed 1.2m | time left 8.8m
step=320 | loss=4.9423 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=5534188 | 189ms/step | elapsed 1.2m | time left 8.8m
step=330 | loss=4.8021 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=5267090 | 199ms/step | elapsed 1.2m | time left 8.8m
step=340 | loss=4.7323 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=5152858 | 203ms/step | elapsed 1.3m | time left 8.7m
step=350 | loss=4.9055 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=5444063 | 193ms/step | elapsed 1.3m | time left 8.7m
step=360 | loss=4.7551 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=5017926 | 209ms/step | elapsed 1.4m | time left 8.6m
step=370 | loss=4.7527 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=2415414 | 434ms/step | elapsed 1.4m | time left 8.6m
step=380 | loss=4.5777 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=1460832 | 718ms/step | elapsed 1.5m | time left 8.5m
step=390 | loss=4.6761 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=1533695 | 684ms/step | elapsed 1.6m | time left 8.4m
step=400 | loss=4.6110 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=5598720 | 187ms/step | elapsed 1.7m | time left 8.3m
step=410 | loss=4.7517 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=5345811 | 196ms/step | elapsed 1.7m | time left 8.3m
step=420 | loss=4.6901 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=4903297 | 214ms/step | elapsed 1.8m | time left 8.2m
step=430 | loss=4.4562 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=2697346 | 389ms/step | elapsed 1.8m | time left 8.2m
step=440 | loss=4.5931 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=5111707 | 205ms/step | elapsed 1.8m | time left 8.2m
step=450 | loss=4.3721 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=1538981 | 681ms/step | elapsed 1.9m | time left 8.1m
step=460 | loss=4.4489 | lr(muon)=1.98e-02 lr(adam)=2.96e-04 | tok/s=4465947 | 235ms/step | elapsed 1.9m | time left 8.1m
step=470 | loss=4.5291 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=5432591 | 193ms/step | elapsed 2.0m | time left 8.0m
step=480 | loss=4.5553 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=5575002 | 188ms/step | elapsed 2.0m | time left 8.0m
